"gematria","word","pronounciation","meaning",
107,,,,
108,"BAMS","bah-mess","to forget",
108,"OTHIL","oh-teh-hee-el","seat",
109,"DOSIG","doh-see-geh","night",
109,"ZAR","zod-ar","ways, paths, courses",
110,"BABALON","bah-bah-loh-en","evil, wicked",
110,"BASM","bah-zod-em","noon, midday",
111,,,,
112,,,,
113,"ZIN","zodee-en","waters",
114,"BABALOND","bah-bah-loh-en-deh","harlot, seductress",
115,"EOLIS","eh-oh-lee-es","to make",
115,"HARG","har-geh","to plant, to sow",
115,"ZAR","zod-ar","ways, paths, courses",
116,"POILP","poh-ee-eh-pel","to be divided",
117,"NANBA","nah-en-beh","thorns",
117,"ZIZOP","zodee-zodoh-pah","vessels",
118,"GONO","goh-noh","faith",
119,"RAAS","rah-ah-seh","the East",
119,"ZIN","zodee-en","waters",
120,"GRAA","geh-rah-ah","the Moon",
120,"OM","oh-meh","to know, understand",
121,"HOM","hoh-meh","to live",
122,"DARBS","dar-bess","obedience",
123,"LONDOH","loh-en-doh","kingdoms",
123,"MOZ","moh-zod","joy",
124,"GNAY","geh-nay","to do, does",
125,"LRASD","el-rah-ess-deh","to dispose of, to eliminate",
126,"OMA","oh-mah","understanding",
127,"IADNAH","ee-ah-deh-nah","knowledge",
127,"PRGE","par-geh","fire",
128,"TIANTA","tee-an-en-tah","a bed",
128,"QUASB","quah-seh-beh","to ruin, destroy",
129,"MOZ","moh-zod","joy",
130,"VNPH","ven-pen","anger",
131,"ETHAMZA","en-teh-ham-zodah","to be covered, hidden",
132,,,,
133,"OVOF","oh-voh-feh","to be magnified",
134,,,,
135,,,,
136,"ANANAEL","ah-nah-nah-el","the Secret Wisdom",
136,"BALZARG","bal-zodah-rah-geh","stewards",
136,"IAIDA","ee-ah-ee-dah","the highest",
137,"FISIS","fee-see-ess","to do, perform",
137,"ORS","oh-ress","darkness",
138,,,,
139,"SIBSI","see-beh-see","covenant",
140,"TIANTA","tee-an-en-tah","a bed",
141,,,,
142,"BALZARG","bal-zodah-rah-geh","stewards",
142,"TIBIBP","tee-bee-beh-peh","sorrow",
143,"ABRAASSA","ah-beh-raw-ah-ess-sah","to provide",
143,"MOLAP","moh-lah-peh","men",
144,,,,
145,"NOIB","noh-ee-beh","yes, affirmation",
146,,,,
147,"BRGDO","bar-geh-doh","sleep",
148,"ORSBA","oh-ress-bah","drunken, intoxicated",
148,"TIBIBP","tee-bee-beh-peh","sorrow",
149,"POAMAL","poh-ah-mal","palace",
150,"MI","mee","power",
150,"OLPRT","oh-el-par-teh","light",
151,"ZORGE","zodah-ra-geh","love, friendly",
152,"GIGIPAH","gee-gee-pah","living braeth",
152,"OLLAR","oh-leh-lar","man",
153,,,,
154,"VAUL","vah-u-el","to work, toil",
155,"MOSPLEH","moh-seh-pel-eh-heh","horns",
156,"LONSHI","loh-en-ess-hee","power",
156,"OLPRT","oh-el-par-teh","light",
157,"ZORGE","zodoh-ra-geh","love, friendly",
158,"NOQOL","noh-quo-leh","servants",
159,,,,
160,"IO-IAD","ee-oh-ee-ah-deh","Eternal God",
161,,,,
162,"VAOAN","vah-oh-ah-en","truth",
163,"QANIS","quah-nee-ess","olives",
163,"RIT","ree-teh","mercy",
164,,,,
165,,,,
166,,,,
167,"SALMAN","sah-leh-mah-neh","a house",
168,,,,
169,"PIR","pee-ar","bright",
169,"RIT","ree-teh","mercy",
170,,,,
171,"APOPHRASZ","ah-poh-peh-rah-seh-zod","motion",
172,,,,
173,,,,
174,"OLORA","oh-loh-rah","man",
175,,,,
176,"BASGIM","bah-seh-gee-em","day",
177,"APOPHRASZ","ah-poh-peh-rah-seh-zod","motion",
177,"INSI","ee-ness-ee","to walk on, to tread",
177,"NIIS","nee-ee-ess","to come",
178,,,,
179,"BLIAR","beh-lee-ah-rah","comfort, ease",
180,"LIMLAL","lee-em-lah-leh","treasure",
181,"ZILDAR","zodee-leh-dar","to fly",
182,,,,
183,"BLIARD","beh-lee-ah-rah-deh","to be with comfort",
183,"ETHARZI","eh-teh-har-zodee","in peace",
184,,,,
185,,,,
